temp,hum
2021-1-1-0-1,30.3,62.3
2021-1-1-0-2,30.2,62.10001
2021-1-1-0-3,30.1,62.3
2021-1-1-0-4,30.1,62.6
2021-1-1-0-5,30.1,62.6
2021-1-1-0-6,30.2,62.6
2021-1-1-0-7,30.3,62.5
2021-1-1-0-8,30.3,62.10001
2021-1-1-0-9,30.4,61.7
2021-1-1-0-10,30.5,61.5
2021-1-1-0-11,30.5,61.6
2021-1-1-0-12,30.5,61.3
2021-1-1-0-13,30.5,61.4
2021-1-1-0-14,30.5,61.7
2021-1-1-0-15,30.5,61.8
2021-1-1-0-16,30.5,61.6
2021-1-1-0-17,30.5,61.6
2021-1-1-0-18,30.4,61.9
2021-1-1-0-19,30.4,62.0
2021-1-1-0-20,30.4,62.10001
2021-1-1-0-21,30.5,61.7
2021-1-1-0-22,30.5,61.5
2021-1-1-0-23,30.5,61.7
2021-1-1-0-24,30.5,61.5
2021-1-1-0-25,30.4,62.0
2021-1-1-0-26,30.4,62.0
2021-1-1-0-27,30.5,62.10001
2021-1-1-0-28,30.5,61.7
2021-1-1-0-29,30.5,61.6
2021-1-1-0-30,30.6,61.4
2021-1-1-0-31,30.6,61.3
2021-1-1-0-32,30.7,61.2
2021-1-1-0-33,30.7,61.1
2021-1-1-0-34,30.7,61.0
2021-1-1-0-35,30.7,61.0
2021-1-1-0-36,30.7,61.0
2021-1-1-0-37,30.6,60.6
2021-1-1-0-38,30.6,60.7
2021-1-1-0-39,30.5,61.0
2021-1-1-0-40,30.5,61.3
2021-1-1-0-41,30.4,61.4
2021-1-1-0-42,30.3,61.4
2021-1-1-0-43,30.3,61.9
2021-1-1-0-44,30.2,61.9
2021-1-1-0-45,30.1,61.8
2021-1-1-0-46,30.0,62.0
2021-1-1-0-47,30.0,62.5
2021-1-1-0-48,30.0,62.6
2021-1-1-0-49,29.9,62.4
2021-1-1-0-50,29.7,62.6
2021-1-1-0-51,29.7,63.4
2021-1-1-0-52,29.7,63.2
2021-1-1-0-53,29.7,63.2
2021-1-1-0-54,29.7,62.8
2021-1-1-0-55,29.7,63.2
2021-1-1-0-56,29.5,63.5
2021-1-1-0-57,29.5,63.9
2021-1-1-0-58,29.4,64.0
2021-1-1-0-59,29.3,64.4
2021-1-1-1-0,29.2,64.4
2021-1-1-1-1,29.2,64.6
2021-1-1-1-2,29.2,64.8
2021-1-1-1-3,29.1,64.70001
2021-1-1-1-4,29.0,65.0
2021-1-1-1-5,29.0,65.0
2021-1-1-1-6,28.9,65.4
2021-1-1-1-7,28.9,65.6
2021-1-1-1-8,28.7,65.8
2021-1-1-1-9,28.6,66.30001
2021-1-1-1-10,28.6,66.4
2021-1-1-1-11,28.6,66.4
2021-1-1-1-12,28.6,66.70001
2021-1-1-1-13,28.6,66.70001
2021-1-1-1-14,28.6,66.5
2021-1-1-1-15,28.7,66.2
2021-1-1-1-16,28.7,66.1
2021-1-1-1-17,28.6,66.4
2021-1-1-1-18,28.5,66.9
2021-1-1-1-19,28.5,66.70001
2021-1-1-1-20,28.5,66.8
2021-1-1-1-21,28.5,67.4
2021-1-1-1-22,28.5,67.4
2021-1-1-1-23,28.5,66.9
2021-1-1-1-24,28.6,66.5
2021-1-1-1-25,28.6,66.4
2021-1-1-1-26,28.6,66.5
2021-1-1-1-27,28.6,66.5
2021-1-1-1-28,28.6,66.8
2021-1-1-1-29,28.6,66.70001
2021-1-1-1-30,28.6,66.30001
2021-1-1-1-31,28.5,66.5
2021-1-1-1-32,28.5,66.70001
2021-1-1-1-33,28.4,66.9
2021-1-1-1-34,28.3,67.1
2021-1-1-1-35,28.3,67.3
2021-1-1-1-36,28.3,67.5
2021-1-1-1-37,28.3,67.20001
2021-1-1-1-38,28.3,67.1
2021-1-1-1-39,28.3,67.4
2021-1-1-1-40,28.3,67.1
2021-1-1-1-41,28.3,67.20001
2021-1-1-1-42,28.3,67.9
2021-1-1-1-43,28.3,67.20001
2021-1-1-1-44,28.3,67.4
2021-1-1-1-45,28.3,67.5
2021-1-1-1-46,28.2,67.4
2021-1-1-1-47,28.2,67.20001
2021-1-1-1-48,28.3,67.9
2021-1-1-1-49,28.3,67.3
2021-1-1-1-50,28.3,67.8
2021-1-1-1-51,28.4,67.20001
2021-1-1-1-52,28.4,67.20001
2021-1-1-1-53,28.4,67.3
2021-1-1-1-54,28.5,67.3
2021-1-1-1-55,28.5,67.1
2021-1-1-1-56,28.5,66.9
2021-1-1-1-57,28.5,67.0
2021-1-1-1-58,28.5,66.70001
2021-1-1-1-59,28.5,66.70001
2021-1-1-2-0,28.5,66.4
2021-1-1-2-1,28.5,66.9
2021-1-1-2-2,28.5,66.6
2021-1-1-2-3,28.5,66.6
2021-1-1-2-4,28.4,66.6
2021-1-1-2-5,28.4,66.9
2021-1-1-2-6,28.4,66.8
